trainee,id,cat,subcat,grade
6,7,학력,출신 학교 수준,A
6,7,학점,출신 학교 수준,A
6,7,경력,총 경력 연수,E
6,7,경력,직무 연관성,C
6,7,경력,성과 및 기여도,E
6,7,교육이력,전문교육 수료 여부,D
6,7,교육이력,기업 내 교육 참여,E
6,7,교육이력,자기개발 노력,B
6,7,자격증,직무 관련 자격증 (적합도),C
6,7,자격증,자격증 수준,A
6,7,자격증,자격증 최신성,A
6,9,학력,최종 학위 수준,B
6,9,학력,출신 학교 수준,A
6,9,학점,출신 학교 수준,A
6,9,경력,총 경력 연수,B
6,9,경력,직무 연관성,A
6,9,경력,성과 및 기여도,B
6,9,교육이력,전문교육 수료 여부,A
6,9,교육이력,기업 내 교육 참여,A
6,9,교육이력,자기개발 노력,A
6,9,자격증,직무 관련 자격증 (적합도),A
6,9,자격증,자격증 수준,A
6,9,자격증,자격증 최신성,A
6,10,학력,최종 학위 수준,C
6,10,학력,출신 학교 수준,B
6,10,학점,출신 학교 수준,A
6,10,경력,총 경력 연수,C
6,10,경력,직무 연관성,A
6,10,경력,성과 및 기여도,E
6,10,교육이력,전문교육 수료 여부,E
6,10,교육이력,기업 내 교육 참여,E
6,10,교육이력,자기개발 노력,A
6,10,자격증,직무 관련 자격증 (적합도),A
6,10,자격증,자격증 수준,A
6,10,자격증,자격증 최신성,B
6,12,학력,최종 학위 수준,C
6,12,학력,출신 학교 수준,C
6,12,학점,출신 학교 수준,C
6,12,경력,총 경력 연수,E
6,12,경력,직무 연관성,E
6,12,경력,성과 및 기여도,E
6,12,교육이력,전문교육 수료 여부,E
6,12,교육이력,기업 내 교육 참여,E
6,12,교육이력,자기개발 노력,E
6,12,자격증,직무 관련 자격증 (적합도),E
6,12,자격증,자격증 수준,E
6,12,자격증,자격증 최신성,E
6,13,학력,최종 학위 수준,C
6,13,학력,출신 학교 수준,C
6,13,학점,출신 학교 수준,C
6,13,경력,총 경력 연수,E
6,13,경력,직무 연관성,E
6,13,경력,성과 및 기여도,E
6,13,교육이력,전문교육 수료 여부,E
6,13,교육이력,기업 내 교육 참여,E
6,13,교육이력,자기개발 노력,E
6,13,자격증,직무 관련 자격증 (적합도),E
6,13,자격증,자격증 수준,E
6,13,자격증,자격증 최신성,E
6,14,학력,최종 학위 수준,C
6,14,학력,출신 학교 수준,C
6,14,학점,출신 학교 수준,C
6,14,경력,총 경력 연수,E
6,14,경력,직무 연관성,E
6,14,경력,성과 및 기여도,E
6,14,교육이력,전문교육 수료 여부,E
6,14,교육이력,기업 내 교육 참여,E
6,14,교육이력,자기개발 노력,D
6,14,자격증,직무 관련 자격증 (적합도),E
6,14,자격증,자격증 수준,E
6,14,자격증,자격증 최신성,E
6,15,학력,최종 학위 수준,C
6,15,학력,출신 학교 수준,C
6,15,학점,출신 학교 수준,C
6,15,경력,총 경력 연수,E
6,15,경력,직무 연관성,E
6,15,경력,성과 및 기여도,E
6,15,교육이력,전문교육 수료 여부,E
6,15,교육이력,기업 내 교육 참여,E
6,15,교육이력,자기개발 노력,E
6,15,자격증,직무 관련 자격증 (적합도),E
6,15,자격증,자격증 수준,E
6,15,자격증,자격증 최신성,E
6,16,학력,최종 학위 수준,C
6,16,학력,출신 학교 수준,E
6,16,학점,출신 학교 수준,B
6,16,경력,총 경력 연수,E
6,16,경력,직무 연관성,E
6,16,경력,성과 및 기여도,E
6,16,교육이력,전문교육 수료 여부,E
6,16,교육이력,기업 내 교육 참여,E
6,16,교육이력,자기개발 노력,E
6,16,자격증,직무 관련 자격증 (적합도),E
6,16,자격증,자격증 수준,E
6,16,자격증,자격증 최신성,E
6,17,학력,최종 학위 수준,C
6,17,학력,출신 학교 수준,C
6,17,학점,출신 학교 수준,A
6,17,경력,총 경력 연수,E
6,17,경력,직무 연관성,C
6,17,경력,성과 및 기여도,E
6,17,교육이력,전문교육 수료 여부,A
6,17,교육이력,기업 내 교육 참여,E
6,17,교육이력,자기개발 노력,B
6,17,자격증,직무 관련 자격증 (적합도),A
6,17,자격증,자격증 수준,A
6,17,자격증,자격증 최신성,E
6,18,학력,최종 학위 수준,C
6,18,학력,출신 학교 수준,C
6,18,학점,출신 학교 수준,A
6,18,경력,총 경력 연수,E
6,18,경력,직무 연관성,E
6,18,경력,성과 및 기여도,E
6,18,교육이력,전문교육 수료 여부,E
6,18,교육이력,기업 내 교육 참여,E
6,18,교육이력,자기개발 노력,E
6,18,자격증,직무 관련 자격증 (적합도),E
6,18,자격증,자격증 수준,E
6,18,자격증,자격증 최신성,E
6,19,학력,최종 학위 수준,C
6,19,학력,출신 학교 수준,C
6,19,학점,출신 학교 수준,B
6,19,경력,총 경력 연수,B
6,19,경력,직무 연관성,B
6,19,경력,성과 및 기여도,E
6,19,교육이력,전문교육 수료 여부,E
6,19,교육이력,기업 내 교육 참여,E
6,19,교육이력,자기개발 노력,E
6,19,자격증,직무 관련 자격증 (적합도),E
6,19,자격증,자격증 수준,E
6,19,자격증,자격증 최신성,E
6,20,학력,최종 학위 수준,C
6,20,학력,출신 학교 수준,B
6,20,학점,출신 학교 수준,C
6,20,경력,총 경력 연수,B
6,20,경력,직무 연관성,B
6,20,경력,성과 및 기여도,E
6,20,교육이력,전문교육 수료 여부,E
6,20,교육이력,기업 내 교육 참여,E
6,20,교육이력,자기개발 노력,A
6,20,자격증,직무 관련 자격증 (적합도),E
6,20,자격증,자격증 수준,E
6,20,자격증,자격증 최신성,E
6,21,학력,최종 학위 수준,C
6,21,학력,출신 학교 수준,A
6,21,학점,출신 학교 수준,A
6,21,경력,총 경력 연수,E
6,21,경력,직무 연관성,B
6,21,경력,성과 및 기여도,A
6,21,교육이력,전문교육 수료 여부,E
6,21,교육이력,기업 내 교육 참여,E
6,21,교육이력,자기개발 노력,E
6,21,자격증,직무 관련 자격증 (적합도),E
6,21,자격증,자격증 수준,E
6,21,자격증,자격증 최신성,E
6,30,학력,최종 학위 수준,B
6,30,학력,출신 학교 수준,B
6,30,학점,출신 학교 수준,A
6,30,경력,총 경력 연수,C
6,30,경력,직무 연관성,C
6,30,경력,성과 및 기여도,E
6,30,교육이력,전문교육 수료 여부,B
6,30,교육이력,기업 내 교육 참여,E
6,30,교육이력,자기개발 노력,A
6,30,자격증,직무 관련 자격증 (적합도),A
6,30,자격증,자격증 수준,A
6,30,자격증,자격증 최신성,A
6,31,학력,최종 학위 수준,C
6,31,학력,출신 학교 수준,C
6,31,학점,출신 학교 수준,B
6,31,경력,총 경력 연수,E
6,31,경력,직무 연관성,A
6,31,경력,성과 및 기여도,C
6,31,교육이력,전문교육 수료 여부,C
6,31,교육이력,기업 내 교육 참여,E
6,31,교육이력,자기개발 노력,B
6,31,자격증,직무 관련 자격증 (적합도),C
6,31,자격증,자격증 수준,C
6,31,자격증,자격증 최신성,B
6,32,학력,최종 학위 수준,C
6,32,학력,출신 학교 수준,C
6,32,학점,출신 학교 수준,E
6,32,경력,총 경력 연수,E
6,32,경력,직무 연관성,C
6,32,경력,성과 및 기여도,C
6,32,교육이력,전문교육 수료 여부,B
6,32,교육이력,기업 내 교육 참여,E
6,32,교육이력,자기개발 노력,B
6,32,자격증,직무 관련 자격증 (적합도),B
6,32,자격증,자격증 수준,B
6,32,자격증,자격증 최신성,B
7,1,학력,최종 학위 수준,B
7,1,학력,출신 학교 수준,C
7,1,학점,출신 학교 수준,B
7,1,경력,총 경력 연수,B
7,1,경력,직무 연관성,D
7,1,경력,성과 및 기여도,C
7,1,교육이력,전문교육 수료 여부,C
7,1,교육이력,기업 내 교육 참여,E
7,1,교육이력,자기개발 노력,D
7,1,자격증,직무 관련 자격증 (적합도),C
7,1,자격증,자격증 수준,D
7,1,자격증,자격증 최신성,A
7,2,학력,최종 학위 수준,C
7,2,학력,출신 학교 수준,C
7,2,학점,출신 학교 수준,C
7,2,경력,총 경력 연수,C
7,2,경력,직무 연관성,D
7,2,경력,성과 및 기여도,E
7,2,교육이력,전문교육 수료 여부,C
7,2,교육이력,기업 내 교육 참여,E
7,2,교육이력,자기개발 노력,E
7,2,자격증,직무 관련 자격증 (적합도),E
7,2,자격증,자격증 수준,D
7,2,자격증,자격증 최신성,D
7,3,학력,최종 학위 수준,C
7,3,학력,출신 학교 수준,C
7,3,학점,출신 학교 수준,B
7,3,경력,총 경력 연수,C
7,3,경력,직무 연관성,A
7,3,경력,성과 및 기여도,D
7,3,교육이력,전문교육 수료 여부,C
7,3,교육이력,기업 내 교육 참여,C
7,3,교육이력,자기개발 노력,C
7,3,자격증,직무 관련 자격증 (적합도),A
7,3,자격증,자격증 수준,B
7,3,자격증,자격증 최신성,A
7,4,학력,최종 학위 수준,B
